timestamp,frame,row,col,mean,std
2025-12-08T17:20:49.734030,1,0,0,91.746943,34.188151
2025-12-08T17:20:49.734030,1,0,1,106.934343,20.714630
2025-12-08T17:20:49.734030,1,0,2,103.938596,23.758805
2025-12-08T17:20:49.734030,1,0,3,85.342578,26.359594
2025-12-08T17:20:49.734030,1,1,0,105.426635,30.048279
2025-12-08T17:20:49.734030,1,1,1,116.064062,11.639631
2025-12-08T17:20:49.734030,1,1,2,112.962254,9.484656
2025-12-08T17:20:49.734030,1,1,3,105.764766,21.809269
2025-12-08T17:20:49.734030,1,2,0,103.772196,27.464412
2025-12-08T17:20:49.734030,1,2,1,112.021531,11.980682
2025-12-08T17:20:49.734030,1,2,2,109.376927,11.445401
2025-12-08T17:20:49.734030,1,2,3,104.293272,21.908803
2025-12-08T17:20:49.734030,1,3,0,96.615841,28.489579
2025-12-08T17:20:49.734030,1,3,1,104.035088,22.713198
2025-12-08T17:20:49.734030,1,3,2,97.555986,21.426133
2025-12-08T17:20:49.734030,1,3,3,89.414506,27.196562
2025-12-08T17:20:59.701782,2,0,0,91.750665,34.276094
2025-12-08T17:20:59.701782,2,0,1,106.960659,20.702830
2025-12-08T17:20:59.701782,2,0,2,104.019936,23.726935
2025-12-08T17:20:59.701782,2,0,3,85.310734,26.419835
2025-12-08T17:20:59.701782,2,1,0,105.490431,30.063048
2025-12-08T17:20:59.701782,2,1,1,116.211324,11.600347
2025-12-08T17:20:59.701782,2,1,2,113.030303,9.484683
2025-12-08T17:20:59.701782,2,1,3,105.817925,21.909769
2025-12-08T17:20:59.701782,2,2,0,103.908028,27.542506
2025-12-08T17:20:59.701782,2,2,1,112.174907,12.040942
2025-12-08T17:20:59.701782,2,2,2,109.490431,11.471437
2025-12-08T17:20:59.701782,2,2,3,104.421931,21.992760
2025-12-08T17:20:59.701782,2,3,0,96.762900,28.530084
2025-12-08T17:20:59.701782,2,3,1,104.268576,22.781047
2025-12-08T17:20:59.701782,2,3,2,97.764448,21.479800
2025-12-08T17:20:59.701782,2,3,3,89.623131,27.228594
2025-12-08T17:22:43.570254,1,0,0,90.789208,35.433684
2025-12-08T17:22:43.570254,1,0,1,105.072302,24.960023
2025-12-08T17:22:43.570254,1,0,2,102.588783,26.591535
2025-12-08T17:22:43.570254,1,0,3,84.308680,28.240115
2025-12-08T17:22:43.570254,1,1,0,106.669059,29.447549
2025-12-08T17:22:43.570254,1,1,1,116.799043,11.640984
2025-12-08T17:22:43.570254,1,1,2,113.343700,9.336503
2025-12-08T17:22:43.570254,1,1,3,106.459168,22.747768
2025-12-08T17:22:43.570254,1,2,0,104.453748,27.423890
2025-12-08T17:22:43.570254,1,2,1,112.552632,12.099139
2025-12-08T17:22:43.570254,1,2,2,109.549176,11.717495
2025-12-08T17:22:43.570254,1,2,3,104.624294,22.709434
2025-12-08T17:22:43.570254,1,3,0,99.252838,26.084922
2025-12-08T17:22:43.570254,1,3,1,106.930599,18.094754
2025-12-08T17:22:43.570254,1,3,2,101.366873,18.126920
2025-12-08T17:22:43.570254,1,3,3,92.526670,25.979352
2025-12-08T17:22:53.537493,2,0,0,90.796917,35.388768
2025-12-08T17:22:53.537493,2,0,1,105.070973,24.976959
2025-12-08T17:22:53.537493,2,0,2,102.602073,26.559520
2025-12-08T17:22:53.537493,2,0,3,84.277350,28.198324
