timestamp,frame,mode,mean_saturation,plant_status,row,col,gray_mean,gray_std,green_frac,image_path_gray,image_path_color
2025-12-15T17:00:19.959939,1,night_ir,0.886,pre-germination,3,1,108.702590,12.673177,,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170019_f000001_gray.png,
2025-12-15T17:00:19.959939,1,night_ir,0.886,pre-germination,3,2,115.793094,11.559747,,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170019_f000001_gray.png,
2025-12-15T17:00:19.959939,1,night_ir,0.886,pre-germination,3,3,111.103309,12.340261,,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170019_f000001_gray.png,
2025-12-15T17:01:08.809554,1,day,50.543,pre-germination,0,0,80.826511,28.259434,0.008633,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_gray.png,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_color.jpg
2025-12-15T17:01:08.809554,1,day,50.543,pre-germination,0,1,91.956001,26.903062,0.005848,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_gray.png,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_color.jpg
2025-12-15T17:01:08.809554,1,day,50.543,pre-germination,0,2,88.683097,26.453183,0.004177,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_gray.png,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_color.jpg
2025-12-15T17:01:08.809554,1,day,50.543,pre-germination,0,3,82.085822,28.210514,0.011299,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_gray.png,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_color.jpg
2025-12-15T17:01:08.809554,1,day,50.543,pre-germination,1,0,93.925369,18.385019,0.008354,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_gray.png,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_color.jpg
2025-12-15T17:01:08.809554,1,day,50.543,pre-germination,1,1,100.280702,19.816121,0.010304,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_gray.png,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_color.jpg
2025-12-15T17:01:08.809554,1,day,50.543,pre-germination,1,2,100.869953,19.397011,0.004734,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_gray.png,/home/foodi/Documents/AMiGA/data/ir_pics/tray_20251215_170108_f000001_color.jpg
